model,decoding,q_idx,time_sec,vram_peak_gb
BASE,Default,1,1.6048,0.635
BASE,Tuned,1,2.2309,0.685
BASE,Default,2,1.3645,0.635
BASE,Tuned,2,2.0857,0.686
BASE,Default,3,1.438,0.635
BASE,Tuned,3,2.1072,0.686
BASE,Default,4,1.3879,0.635
BASE,Tuned,4,2.0421,0.685
BASE,Default,5,1.3376,0.635
BASE,Tuned,5,2.1771,0.686
SFT,Default,1,0.5108,0.628
SFT,Tuned,1,0.7753,0.673
SFT,Default,2,0.1405,0.626
SFT,Tuned,2,0.2524,0.649
SFT,Default,3,0.1371,0.626
SFT,Tuned,3,0.4823,0.653
SFT,Default,4,0.7049,0.63
SFT,Tuned,4,0.9206,0.677
SFT,Default,5,1.3305,0.635
SFT,Tuned,5,1.405,0.678
PPO,Default,1,0.6135,0.629
PPO,Tuned,1,0.7033,0.656
PPO,Default,2,0.686,0.63
PPO,Tuned,2,0.3213,0.65
PPO,Default,3,0.1366,0.626
PPO,Tuned,3,0.6534,0.657
PPO,Default,4,0.8186,0.631
PPO,Tuned,4,1.3333,0.677
PPO,Default,5,1.3247,0.635
PPO,Tuned,5,2.0668,0.687
